Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,1118.35526108,304.82751985,2.30997459,0.26604749
2,796.87485623,321.48040485,1.96951028,0.34046431
3,593.71484029,203.16001594,1.69481280,0.27469748
4,466.00782704,127.70701325,1.48414061,0.21067219
5,383.90086947,82.10695756,1.32413336,0.16000726
6,325.34867870,58.55219078,1.19851905,0.12561431
7,281.82342082,43.52525788,1.09286892,0.10565013
8,248.76454663,33.05887419,1.01055380,0.08231511
9,221.64407209,27.12047454,0.94086613,0.06968767
10,199.00194545,22.64212664,0.88240956,0.05845657
11,179.61196877,19.38997667,0.82845381,0.05395575
12,162.98363768,16.62833109,0.78454580,0.04390800
13,148.69092331,14.29271437,0.74320401,0.04134179
14,136.09537377,12.59554954,0.70847480,0.03472921
15,124.87133963,11.22403415,0.67512442,0.03335038
16,115.25282451,9.61851512,0.64293454,0.03218988
17,106.52207318,8.73075132,0.61693994,0.02599460
18,98.51851221,8.00356097,0.58834555,0.02859439
19,91.74472182,6.77379039,0.56484768,0.02349787
20,85.46137295,6.28334887,0.54217645,0.02267123
21,79.93171970,5.52965325,0.52223470,0.01994175
22,74.79168296,5.14003674,0.49927466,0.02296004
23,70.31064089,4.48104208,0.48018086,0.01909380
24,66.19893275,4.11170814,0.46143437,0.01874649
25,62.54000765,3.65892509,0.44469663,0.01673774
26,59.16108046,3.37892720,0.42629875,0.01839788
27,56.13747255,3.02360791,0.41346010,0.01283864
28,53.35065225,2.78682030,0.39872019,0.01473991
29,50.78518250,2.56546975,0.38419406,0.01452613
30,48.47320643,2.31197607,0.37080131,0.01339275
31,46.37756611,2.09564031,0.35952430,0.01127701
32,44.42296535,1.95460077,0.34680353,0.01272077
33,42.65252826,1.77043709,0.33628812,0.01051541
34,41.02068401,1.63184425,0.32594981,0.01033831
35,39.49741564,1.52326837,0.31676881,0.00918100
36,38.05386335,1.44355229,0.30677293,0.00999588
37,36.76995836,1.28390499,0.29774635,0.00902659
38,35.56285628,1.20710208,0.29017807,0.00756827
39,34.45565931,1.10719697,0.28365917,0.00651890
40,33.39495154,1.06070777,0.27485865,0.00880052
41,32.46513617,0.92981537,0.26817885,0.00667980
42,31.53780610,0.92733008,0.26115789,0.00702096
43,30.68635297,0.85145313,0.25515752,0.00600037
44,29.88033989,0.80601308,0.25069517,0.00446235
45,29.17358775,0.70675214,0.24537014,0.00532503
46,28.46115384,0.71243392,0.23978523,0.00558491
47,27.80241566,0.65873818,0.23516582,0.00461941
48,27.16716272,0.63525293,0.23027367,0.00489215
49,26.59875230,0.56841043,0.22546989,0.00480378
50,26.05002877,0.54872353,0.22183004,0.00363985
51,25.52544051,0.52458826,0.21807246,0.00375758
52,25.01895240,0.50648811,0.21458642,0.00348604
53,24.54939209,0.46956031,0.21127457,0.00331185
54,24.11190497,0.43748712,0.20784539,0.00342919
55,23.68874626,0.42315871,0.20493067,0.00291472
56,23.26546223,0.42328403,0.20197741,0.00295326
57,22.88335047,0.38211176,0.19944324,0.00253416
58,22.51279697,0.37055350,0.19691858,0.00252466
59,22.15871212,0.35408485,0.19451322,0.00240536
60,21.80995428,0.34875784,0.19193386,0.00257936
61,21.49261666,0.31733762,0.19000814,0.00192571
62,21.17092141,0.32169525,0.18844289,0.00156526
