Iteration,Cost,Cost Diff
1,9239.35257289,2490.66991206
2,7308.88825835,1930.46431454
3,5870.34549906,1438.54275929
4,4827.40741352,1042.93808554
5,4123.23544673,704.17196680
6,3724.38152901,398.85391772
7,3590.49592223,133.88560678
8,3660.86142689,-70.36550466
9,3851.26993640,-190.40850951
10,4068.49833662,-217.22840022
11,4238.98819185,-170.48985523
12,4323.25567079,-84.26747894
13,4312.56483928,10.69083151
14,4219.59946849,92.96537079
15,4068.84559465,150.75387384
16,3888.93153057,179.91406408
17,3707.22152160,181.71000897
18,3546.03557619,161.18594542
19,3420.11334123,125.92223495
20,3335.56682761,84.54651362
21,3290.57186703,44.99496058
22,3277.44699979,13.12486724
23,3285.41739853,-7.97039875
24,3303.36530425,-17.94790572
25,3321.94846601,-18.58316176
26,3334.73489127,-12.78642526
27,3338.37575639,-3.64086512
28,3332.08693524,6.28882115
29,3316.80592159,15.28101364
30,3294.38321799,22.42270360
31,3267.05036497,27.33285302
32,3237.19895088,29.85141409
33,3207.31273108,29.88621980
34,3179.83829770,27.47443338
35,3156.87844855,22.95984916
36,3139.76597052,17.11247803
37,3128.71917751,11.04679301
38,3122.80352589,5.91565162
39,3120.28079419,2.52273169
40,3119.19750746,1.08328674
41,3117.93477603,1.26273143
42,3115.50699567,2.42778036
43,3111.56083734,3.94615833
44,3106.16327235,5.39756499
45,3099.53613804,6.62713431
46,3091.88737853,7.64875950
47,3083.40463555,8.48274299
48,3074.35780899,9.04682656
49,3065.18860804,9.16920095
50,3056.49313352,8.69547452
51,3048.88542204,7.60771148
52,3042.79882319,6.08659886
53,3038.31430309,4.48452010
54,3035.10150686,3.21279623
55,3032.51505711,2.58644976
56,3029.81301067,2.70204644
57,3026.40024840,3.41276227
58,3021.99352924,4.40671916
59,3016.65526038,5.33826886
60,3010.70744119,5.94781919
61,3004.58045487,6.12698631
62,2998.66360592,5.91684896
63,2993.20882196,5.45478395
64,2988.30459041,4.90423156
65,2983.90180276,4.40278764
66,2979.85816215,4.04364061
67,2975.97944089,3.87872126
68,2972.05733903,3.92210186
69,2967.91252204,4.14481699
70,2963.44148117,4.47104087
71,2958.64998519,4.79149598
72,2953.65144952,4.99853567
73,2948.62240791,5.02904162
74,2943.73112190,4.89128600
75,2939.07256294,4.65855897
76,2934.64090182,4.43166111
77,2930.34974096,4.29116086
78,2926.08410340,4.26563756
79,2921.75350794,4.33059546
80,2917.32040891,4.43309903
81,2912.79708613,4.52332278
82,2908.22270181,4.57438432
83,2903.63920315,4.58349866
84,2899.07836884,4.56083432
85,2894.56017954,4.51818930
86,2890.09492170,4.46525783
87,2885.68277709,4.41214462
88,2881.31157481,4.37120228
89,2876.95811068,4.35346412
90,2872.59628788,4.36182280
91,2868.20872328,4.38756460
92,2863.79416800,4.41455528
93,2859.36556546,4.42860254
94,2854.94071241,4.42485305
95,2850.53278784,4.40792456
96,2846.14687824,4.38590960
97,2841.78263843,4.36423981
98,2837.43828337,4.34435506
99,2833.11153282,4.32675056
100,2828.79771347,4.31381934
101,2824.48887359,4.30883988
102,2820.17678289,4.31209070
103,2815.85827885,4.31850405
104,2811.53822912,4.32004973
105,2807.22679743,4.31143169
106,2802.93254729,4.29425014
107,2798.65665125,4.27589604
108,2794.39260235,4.26404890
109,2790.13121790,4.26138445
110,2785.86664867,4.26456923
111,2781.59903426,4.26761442
112,2777.33287803,4.26615623
113,2773.07358134,4.25929668
114,2768.82502341,4.24855794
115,2764.58904584,4.23597757
116,2760.36584238,4.22320346
117,2756.15428006,4.21156231
118,2751.95231509,4.20196498
119,2747.75806534,4.19424974
120,2743.57121261,4.18685274
121,2739.39349925,4.17771336
122,2735.22754047,4.16595878
123,2731.07472443,4.15281604
124,2726.93396346,4.14076097
125,2722.80235346,4.13161000
126,2718.67708895,4.12526451
127,2714.55700178,4.12008717
128,2710.44269660,4.11430518
129,2706.33560418,4.10709243
130,2702.23694864,4.09865554
131,2698.14723166,4.08971698
132,2694.06617083,4.08106083
133,2689.99286909,4.07330175
134,2685.92619591,4.06667318
135,2681.86533931,4.06085660
136,2677.81017866,4.05516065
137,2673.76107760,4.04910105
138,2669.71818958,4.04288802
139,2665.68090963,4.03727996
140,2661.64801140,4.03289823
141,2657.61832445,4.02968695
142,2653.59129966,4.02702478
143,2649.56701863,4.02428103
144,2645.54580015,4.02121848
145,2641.52784219,4.01795796
146,2637.51311180,4.01473039
147,2633.50138598,4.01172582
148,2629.49232241,4.00906358
149,2625.48556560,4.00675681
150,2621.48087698,4.00468862
151,2617.47815903,4.00271795
152,2613.47729552,4.00086351
153,2609.47795873,3.99933679
154,2605.47962045,3.99833828
155,2601.48178221,3.99783825
156,2597.48417970,3.99760251
157,2593.48675659,3.99742311
158,2589.48947656,3.99728002
159,2585.49219133,3.99728524
160,2581.49465907,3.99753225
161,2577.49662872,3.99803035
162,2573.49788696,3.99874176
163,2569.49825274,3.99963422
164,2565.49754219,4.00071056
165,2561.49551673,4.00202546
166,2557.49184798,4.00366874
167,2553.48615271,4.00569527
168,2549.47808818,4.00806453
169,2545.46741248,4.01067570
170,2541.45394168,4.01347080
171,2537.43745791,4.01648377
172,2533.41767169,4.01978622
173,2529.39425739,4.02341431
174,2525.36689371,4.02736368
175,2521.33526118,4.03163252
176,2517.29901598,4.03624521
177,2513.25777642,4.04123956
178,2509.21113276,4.04664365
179,2505.15867434,4.05245842
180,2501.10001909,4.05865525
181,2497.03481939,4.06519970
182,2492.96273445,4.07208494
183,2488.88340181,4.07933264
184,2484.79644391,4.08695791
185,2480.70149503,4.09494888
186,2476.59820654,4.10328849
187,2472.48622800,4.11197854
188,2468.36520162,4.12102637
189,2464.23478586,4.13041576
190,2460.09468328,4.14010259
191,2455.94464993,4.15003335
192,2451.78449048,4.16015945
193,2447.61405262,4.17043785
194,2443.43322769,4.18082493
195,2439.24195784,4.19126985
196,2435.04024288,4.20171496
197,2430.82813859,4.21210429
198,2426.60575231,4.22238628
199,2422.37324897,4.23250334
200,2418.13086270,4.24238627
201,2413.87889454,4.25196816
202,2409.61769230,4.26120224
203,2405.34762845,4.27006384
204,2401.06908583,4.27854262
205,2396.78244695,4.28663888
206,2392.48808453,4.29436242
207,2388.18635768,4.30172685
208,2383.87761620,4.30874148
209,2379.56220894,4.31540726
210,2375.24048811,4.32172083
211,2370.91280382,4.32768429
212,2366.57949279,4.33331102
213,2362.24086942,4.33862338
214,2357.89721827,4.34365114
215,2353.54878338,4.34843489
216,2349.19575818,4.35302520
217,2344.83828302,4.35747516
218,2340.47644703,4.36183598
219,2336.11028857,4.36615846
220,2331.73979624,4.37049233
221,2327.36491499,4.37488125
222,2322.98555703,4.37935796
223,2318.60161568,4.38394134
224,2314.21298150,4.38863419
225,2309.81956081,4.39342068
226,2305.42129474,4.39826607
227,2301.01817351,4.40312123
228,2296.61024462,4.40792889
229,2292.19761855,4.41262607
230,2287.78047395,4.41714460
231,2283.35906052,4.42141343
232,2278.93369963,4.42536089
233,2274.50478204,4.42891759
234,2270.07275754,4.43202450
235,2265.63811296,4.43464459
236,2261.20134061,4.43677234
237,2256.76290171,4.43843890
238,2252.32318788,4.43971383
239,2247.88248309,4.44070479
240,2243.44092775,4.44155534
241,2238.99848636,4.44244138
242,2234.55491897,4.44356739
243,2230.10975874,4.44516023
244,2225.66230058,4.44745816
245,2221.21160622,4.45069436
246,2216.75653418,4.45507204
247,2212.29580824,4.46072594
248,2207.82814097,4.46766727
249,2203.35243219,4.47570879
250,2198.86806281,4.48436937
251,2194.37528810,4.49277471
252,2189.87567846,4.49960965
253,2185.37244644,4.50323202
254,2180.87035871,4.50208773
255,2176.37488243,4.49547628
256,2171.89047607,4.48440636
257,2167.41857694,4.47189913
258,2162.95642875,4.46214819
259,2158.49773991,4.45868883
260,2154.03512822,4.46261170
261,2149.56304119,4.47208702
262,2145.07949253,4.48354866
263,2140.58595476,4.49353777
264,2136.08582735,4.50012742
265,2131.58242573,4.50340162
266,2127.07765542,4.50477031
267,2122.57193655,4.50571887
268,2118.06490974,4.50702681
269,2113.55611629,4.50879345
270,2109.04539267,4.51072362
271,2104.53315083,4.51224184
272,2100.02037002,4.51278081
273,2095.50797240,4.51239762
274,2090.99597227,4.51200013
275,2086.48332218,4.51265009
276,2081.96868344,4.51463874
277,2077.45128995,4.51739350
278,2072.93116730,4.52012265
279,2068.40881444,4.52235285
280,2063.88478094,4.52403350
281,2059.35936907,4.52541188
282,2054.83262167,4.52674739
283,2050.30465332,4.52796835
284,2045.77594340,4.52870992
285,2041.24716320,4.52878020
286,2036.71870360,4.52845960
287,2032.19042678,4.52827682
288,2027.66179354,4.52863323
289,2023.13216064,4.52963290
290,2018.60115061,4.53101004
291,2014.06896947,4.53218114
292,2009.53639736,4.53257211
293,2005.00442399,4.53197337
294,2000.47385983,4.53056416
295,1995.94512441,4.52873543
296,1991.41821883,4.52690558
297,1986.89294254,4.52527629
298,1982.36923916,4.52370338
299,1977.84733052,4.52190864
300,1973.32758861,4.51974191
301,1968.81038963,4.51719897
302,1964.29603560,4.51435403
303,1959.78472416,4.51131144
304,1955.27659400,4.50813016
305,1950.77176412,4.50482988
306,1946.27031955,4.50144457
307,1941.77234338,4.49797617
308,1937.27797280,4.49437058
309,1932.78736915,4.49060366
310,1928.30065649,4.48671266
311,1923.81789011,4.48276638
312,1919.33904905,4.47884106
313,1914.86408282,4.47496623
314,1910.39296975,4.47111307
315,1905.92570740,4.46726235
316,1901.46227905,4.46342836
317,1897.00264291,4.45963613
318,1892.54673413,4.45590878
319,1888.09449143,4.45224270
320,1883.64588261,4.44860881
