Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,44779.38129113,717.66125953,1.49672774,0.19695198
2,44129.97167446,649.40961667,1.30456432,0.19216343
3,43547.34699302,582.62468143,1.11754535,0.18701897
4,43029.80392864,517.54306438,0.93537270,0.18217265
5,42574.44659641,455.35733224,0.75892392,0.17644879
6,42176.89187319,397.55472322,0.59659291,0.16233101
7,41831.44225120,345.44962199,0.46457180,0.13202111
8,41531.18315966,300.25909154,0.37235360,0.09221820
9,41268.13626418,263.04689548,0.31933150,0.05302210
10,41033.66634290,234.46992128,0.29635124,0.02298026
11,40819.07538366,214.59095924,0.29703302,-0.00068178
12,40616.22771092,202.84767274,0.31792747,-0.02089445
13,40418.06860384,198.15910708,0.34995385,-0.03202638
14,40218.95977385,199.10882999,0.38347721,-0.03352335
15,40014.80862969,204.15114416,0.40960135,-0.02612414
16,39803.00420224,211.80442745,0.42659651,-0.01699516
17,39582.19964413,220.80455811,0.43417679,-0.00758028
18,39352.00399544,230.19564869,0.43300739,0.00116940
19,39112.66077416,239.34322128,0.42488716,0.00812024
20,38864.78082485,247.87994930,0.41082973,0.01405742
21,38609.14827154,255.63255331,0.39256466,0.01826508
22,38346.56894580,262.57932574,0.37261528,0.01994938
23,38077.73448848,268.83445732,0.35085940,0.02175588
24,37803.10979153,274.62469695,0.33156709,0.01929231
25,37522.86373971,280.24605182,0.31417223,0.01739485
26,37236.85181037,286.01192934,0.30217469,0.01199755
27,36944.64566409,292.20614628,0.29493106,0.00724363
28,36645.59778564,299.04787845,0.29325052,0.00168054
29,36338.92702675,306.67075890,0.29575469,-0.00250417
30,36023.81117545,315.11585130,0.30281713,-0.00706244
31,35699.47427034,324.33690511,0.31162354,-0.00880642
32,35365.25886425,334.21540610,0.32113608,-0.00951254
33,35020.67657330,344.58229094,0.33198684,-0.01085075
34,34665.43369956,355.24287374,0.34248804,-0.01050120
35,34299.43205977,366.00163979,0.35253805,-0.01005001
36,33922.74797045,376.68408932,0.36218473,-0.00964668
37,33535.59434584,387.15362461,0.37123141,-0.00904669
38,33138.27197110,397.32237474,0.38014733,-0.00891592
39,32731.11629583,407.15567526,0.38889359,-0.00874626
40,32314.44573163,416.67056421,0.39771065,-0.00881707
41,31888.51664129,425.92909034,0.40706572,-0.00935507
42,31453.48915782,435.02748347,0.41745630,-0.01039058
