Iteration,Cost,Cost Diff
1,61875.31357616,8226.37250855
2,54268.50496503,7606.80861113
3,47280.54864397,6987.95632106
4,40906.10231029,6374.44633368
5,35133.93000808,5772.17230221
6,29947.16291843,5186.76708965
7,25324.31172393,4622.85119450
8,21240.90711969,4083.40460424
9,17670.73298585,3570.17413384
10,14585.96492552,3084.76806033
11,11956.73254575,2629.23237976
12,9750.72598271,2206.00656305
13,7933.11486311,1817.61111960
14,6466.82585370,1466.28900941
15,5313.13785735,1153.68799634
16,4432.51537425,880.62248310
17,3785.57862533,646.93674892
18,3334.09732564,451.48129969
19,3041.88617096,292.21115468
20,2875.50151661,166.38465435
21,2804.70108459,70.80043202
22,2802.68502769,2.01605690
23,2846.16131556,-43.47628787
24,2915.28259685,-69.12128129
25,2993.49812706,-78.21553020
26,3067.36034810,-73.86222104
27,3126.32258823,-58.96224013
28,3162.55524062,-36.23265239
29,3170.78844501,-8.23320439
30,3148.16683377,22.62161123
31,3094.08760176,54.07923201
32,3009.99251269,84.09508907
33,2899.09518580,110.89732689
34,2766.04086898,133.05431682
35,2616.51087353,149.52999545
36,2456.79425065,159.71662288
37,2293.35407961,163.44017104
38,2132.41571893,160.93836068
39,1979.60117975,152.81453918
40,1839.62904156,139.97213819
41,1716.09418316,123.53485840
42,1611.33654123,104.75764193
43,1526.40307612,84.93346510
44,1461.10175765,65.30131848
45,1414.14035804,46.96139961
46,1383.33619666,30.80416138
47,1365.87636812,17.45982855
48,1358.60266373,7.27370439
49,1358.29289237,0.30977135
50,1361.91175424,-3.61886187
51,1366.80991556,-4.89816132
52,1370.85835052,-4.04843497
53,1372.51445574,-1.65610521
54,1370.82498426,1.68947148
55,1365.37716592,5.44781834
56,1356.21295077,9.16421515
57,1343.72226376,12.49068701
58,1328.53000939,15.19225437
59,1311.38897629,17.14103310
60,1293.08741542,18.30156088
61,1274.37646512,18.71095029
62,1255.91922485,18.45724028
63,1238.26047179,17.65875305
64,1221.81399001,16.44648178
65,1206.86333603,14.95065399
66,1193.57157535,13.29176068
67,1181.99595348,11.57562188
68,1172.10438863,9.89156484
69,1163.79182234,8.31256630
70,1156.89557148,6.89625086
71,1151.20968012,5.68589136
72,1146.49874423,4.71093589
73,1142.51175429,3.98698994
74,1138.99623738,3.51551691
75,1135.71251670,3.28372068
76,1132.44740603,3.26511067
77,1129.02627352,3.42113250
78,1125.32225396,3.70401956
79,1121.26151044,4.06074352
80,1116.82382730,4.43768314
81,1112.03837951,4.78544779
82,1106.97515767,5.06322184
83,1101.73310851,5.24204917
84,1096.42647039,5.30663812
85,1091.17097026,5.25550013
86,1086.07147745,5.09949282
87,1081.21240582,4.85907162
88,1076.65168273,4.56072309
89,1072.41855010,4.23313264
90,1068.51492641,3.90362369
91,1064.91962185,3.59530456
92,1061.59442090,3.32520095
93,1058.49095300,3.10346790
94,1055.55735168,2.93360132
95,1052.74391841,2.81343327
96,1050.00730208,2.73661633
97,1047.31301682,2.69428526
98,1044.63639470,2.67662212
99,1041.96226706,2.67412764
100,1039.28377065,2.67849641
101,1036.60068611,2.68308454
102,1033.91765575,2.68303036
103,1031.24252496,2.67513079
104,1028.58493812,2.65758684
105,1025.95522166,2.62971647
106,1023.36352108,2.59170058
107,1020.81913041,2.54439067
108,1018.32995705,2.48917336
109,1015.90209062,2.42786643
110,1013.53947668,2.36261394
111,1011.24372150,2.29575518
112,1009.01406426,2.22965724
113,1006.84754459,2.16651967
114,1004.73936967,2.10817492
115,1002.68345304,2.05591663
116,1000.67306588,2.01038717
117,998.70151938,1.97154649
118,996.76278935,1.93873003
119,994.85200326,1.91078609
120,992.96573390,1.88626936
121,991.10207667,1.86365723
122,989.26052277,1.84155390
123,987.44167103,1.81885175
124,985.64684157,1.79482946
125,983.87766177,1.76917980
126,982.13568920,1.74197257
127,980.42212027,1.71356893
128,978.73761127,1.68450901
129,977.08221540,1.65539586
130,975.45542010,1.62679531
131,973.85625550,1.59916459
132,972.28344056,1.57281495
133,970.73553460,1.54790595
134,969.21107047,1.52446414
135,967.70865466,1.50241580
136,966.22703068,1.48162399
137,964.76510897,1.46192171
138,963.32197191,1.44313705
139,961.89686311,1.42510880
140,960.48916894,1.40769418
141,959.09839735,1.39077159
142,957.72415607,1.37424128
143,956.36613002,1.35802606
144,955.02405714,1.34207288
145,953.69770244,1.32635470
146,952.38683100,1.31087143
147,951.09118255,1.29564846
148,949.81045061,1.28073194
149,948.54426966,1.26618095
150,947.29221235,1.25205731
151,946.05379733,1.23841502
152,944.82850625,1.22529108
153,943.61580678,1.21269947
154,942.41517748,1.20062930
155,941.22613033,1.18904716
156,940.04822731,1.17790302
157,938.88108917,1.16713814
158,937.72439569,1.15669347
159,936.57787892,1.14651677
160,935.44131134,1.13656758
161,934.31449206,1.12681929
162,933.19723343,1.11725863
163,932.08935040,1.10788303
164,930.99065352,1.09869688
165,929.90094600,1.08970752
166,928.82002411,1.08092189
167,927.74767999,1.07234412
168,926.68370563,1.06397436
169,925.62789697,1.05580866
170,924.58005743,1.04783954
171,923.54000050,1.04005693
172,922.50755137,1.03244913
173,921.48254779,1.02500358
174,920.46484028,1.01770751
175,919.45429204,1.01054824
176,918.45077848,1.00351356
177,917.45418655,0.99659193
178,916.46441363,0.98977292
179,915.48136618,0.98304745
180,914.50495804,0.97640814
181,913.53510858,0.96984946
182,912.57174090,0.96336768
183,911.61478032,0.95696058
184,910.66415328,0.95062704
185,909.71978681,0.94436648
186,908.78160849,0.93817831
187,907.84954694,0.93206156
188,906.92353234,0.92601460
189,906.00349717,0.92003517
190,905.08937663,0.91412054
191,904.18110886,0.90826777
192,903.27863475,0.90247411
193,902.38189753,0.89673722
194,901.49084210,0.89105543
195,900.60541430,0.88542780
196,899.72556022,0.87985408
197,898.85122559,0.87433463
198,897.98235535,0.86887024
199,897.11889338,0.86346197
200,896.26078235,0.85811102
201,895.40796372,0.85281864
202,894.56037769,0.84758603
203,893.71796330,0.84241438
204,892.88065849,0.83730481
205,892.04840010,0.83225839
206,891.22112400,0.82727610
207,890.39876510,0.82235890
208,889.58125745,0.81750765
209,888.76853433,0.81272312
210,887.96052830,0.80800603
211,887.15717128,0.80335703
212,886.35839460,0.79877668
213,885.56412909,0.79426551
214,884.77430510,0.78982399
215,883.98885258,0.78545251
216,883.20770123,0.78115136
217,882.43078056,0.77692067
218,881.65802015,0.77276041
219,880.88934981,0.76867034
220,880.12469988,0.76464993
221,879.36400145,0.76069842
222,878.60718670,0.75681476
223,877.85418909,0.75299761
224,877.10494372,0.74924537
225,876.35938754,0.74555618
226,875.61745964,0.74192790
227,874.87910148,0.73835815
228,874.14425720,0.73484428
229,873.41287384,0.73138336
230,872.68490164,0.72797220
231,871.96029431,0.72460733
232,871.23900931,0.72128500
233,870.52100810,0.71800120
234,869.80625645,0.71475165
235,869.09472463,0.71153182
236,868.38638768,0.70833695
237,867.68122562,0.70516206
238,866.97922361,0.70200201
239,866.28037215,0.69885147
240,865.58466715,0.69570500
241,864.89211004,0.69255710
242,864.20270784,0.68940221
243,863.51647307,0.68623477
244,862.83342375,0.68304932
245,862.15358325,0.67984049
246,861.47698013,0.67660313
247,860.80364784,0.67333229
248,860.13362450,0.67002335
249,859.46695244,0.66667205
250,858.80367788,0.66327457
251,858.14385033,0.65982755
252,857.48752216,0.65632817
253,856.83474795,0.65277421
254,856.18558388,0.64916407
255,855.54008708,0.64549680
256,854.89831495,0.64177214
257,854.26032443,0.63799052
258,853.62617137,0.63415306
