Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,189622.51407159,16133.95372932,0.97980215,0.04415495
2,171892.30614506,17730.20792654,0.93283101,0.04697114
3,146132.20999288,25760.09615217,0.85832163,0.07450937
4,112488.02896162,33644.18103126,0.74521754,0.11310409
5,75980.64504537,36507.38391625,0.59690152,0.14831602
6,45799.82188395,30180.82316142,0.43754931,0.15935221
7,26383.45758728,19416.36429667,0.29724053,0.14030878
8,16224.27985301,10159.17773427,0.19700594,0.10023459
9,11472.78071042,4751.49914259,0.14016918,0.05683677
10,8971.95908853,2500.82162189,0.11020460,0.02996457
11,7466.30267599,1505.65641254,0.09605937,0.01414524
12,6404.95157735,1061.35109864,0.08750751,0.00855185
13,5555.85366812,849.09790923,0.08050574,0.00700177
14,4863.47196064,692.38170748,0.07491305,0.00559269
15,4298.63265447,564.83930617,0.07006929,0.00484375
16,3814.71801097,483.91464350,0.06582356,0.00424574
17,3408.21092286,406.50708811,0.06179679,0.00402677
18,3047.68121124,360.52971162,0.05850514,0.00329165
19,2735.61445665,312.06675459,0.05506952,0.00343563
20,2458.43815797,277.17629868,0.05209595,0.00297357
21,2210.27274682,248.16541115,0.04928945,0.00280649
22,1992.51667827,217.75606855,0.04632352,0.00296593
23,1796.43766167,196.07901660,0.04405586,0.00226766
24,1621.14361471,175.29404696,0.04153999,0.00251587
25,1467.24181927,153.90179544,0.03921419,0.00232580
26,1326.64207572,140.59974356,0.03694045,0.00227374
27,1204.25386193,122.38821379,0.03490762,0.00203283
28,1093.58884492,110.66501701,0.03297058,0.00193703
29,994.35621733,99.23262759,0.03135775,0.00161283
30,907.68215386,86.67406347,0.02986315,0.00149460
31,829.40832300,78.27383086,0.02842323,0.00143992
32,758.51282216,70.89550084,0.02686517,0.00155806
33,695.95395650,62.55886566,0.02564333,0.00122184
34,639.46702457,56.48693194,0.02426819,0.00137514
35,589.65327716,49.81374741,0.02284928,0.00141891
36,543.97888304,45.67439412,0.02196729,0.00088199
37,504.04956393,39.92931911,0.02102014,0.00094715
