Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,77809.70579756,1073.65035342,1.17081685,-0.02729321
2,75944.94063781,1864.76515974,1.24818813,-0.07737127
3,72116.05405841,3828.88657940,1.43865905,-0.19047092
4,61183.86519041,10932.18886800,1.91921765,-0.48055860
5,31737.49313224,29446.37205818,3.05301462,-1.13379697
6,13000.35537847,18737.13775377,4.33696311,-1.28394849
7,12448.36114649,551.99423198,4.47364104,-0.13667793
8,12000.72770675,447.63343974,4.49257887,-0.01893783
9,11555.84626334,444.88144341,4.54497757,-0.05239870
10,11125.31883651,430.52742683,4.59551925,-0.05054168
11,10635.81280608,489.50603043,4.61621999,-0.02070074
12,10098.63019009,537.18261599,4.64730847,-0.03108848
13,9425.56679962,673.06339047,4.66438131,-0.01707285
14,8650.11212975,775.45466987,4.66724677,-0.00286546
15,7727.29435585,922.81777390,4.67102614,-0.00377937
16,6749.19027457,978.10408127,4.66466040,0.00636573
17,5690.86406260,1058.32621198,4.65776069,0.00689971
18,4729.97208659,960.89197601,4.63074099,0.02701970
19,3943.43905884,786.53302775,4.61086241,0.01987858
20,3367.16580169,576.27325715,4.58093421,0.02992820
21,2999.10049497,368.06530672,4.56527626,0.01565795
22,2795.06209279,204.03840218,4.55241222,0.01286404
23,2675.83328873,119.22880406,4.55325730,-0.00084508
24,2613.15081603,62.68247270,4.54637600,0.00688130
25,2575.54097260,37.60984343,4.54886755,-0.00249155
26,2553.94641323,21.59455937,4.55237863,-0.00351108
27,2531.19147651,22.75493672,4.56082387,-0.00844524
28,2525.26867542,5.92280109,4.55687969,0.00394418
29,2517.63521598,7.63345944,4.56508934,-0.00820966
30,2509.62815376,8.00706222,4.57956978,-0.01448044
31,2495.15822406,14.46992970,4.58451677,-0.00494699
32,2485.46024629,9.69797777,4.58402357,0.00049320
33,2478.19503419,7.26521210,4.60264351,-0.01861993
34,2489.25223003,-11.05719584,4.61073643,-0.00809292
35,2465.04713441,24.20509562,4.61677160,-0.00603518
36,2461.03250546,4.01462894,4.61891459,-0.00214298
37,2452.66019779,8.37230767,4.62467295,-0.00575836
38,2448.08221556,4.57798223,4.63388190,-0.00920895
39,2442.67644301,5.40577255,4.63239896,0.00148294
40,2436.32246318,6.35397982,4.63958748,-0.00718852
41,2443.36627303,-7.04380985,4.64325912,-0.00367164
42,2426.27680411,17.08946892,4.65119343,-0.00793431
43,2420.51183428,5.76496983,4.66191611,-0.01072268
44,2420.55414565,-0.04231137,4.66547811,-0.00356200
45,2413.41008087,7.14406478,4.66972065,-0.00424254
46,2407.18927437,6.22080650,4.67995276,-0.01023212
47,2402.91221459,4.27705977,4.67724471,0.00270806
48,2411.44886282,-8.53664823,4.68388675,-0.00664205
49,2394.08767313,17.36118969,4.68275322,0.00113354
50,2396.87995869,-2.79228557,4.69651923,-0.01376602
51,2396.71320836,0.16675033,4.69310546,0.00341378
52,2392.48441517,4.22879320,4.69665544,-0.00354998
53,2378.98533901,13.49907616,4.70525481,-0.00859937
54,2390.18103506,-11.19569606,4.70426439,0.00099042
55,2374.37602535,15.80500972,4.70418935,0.00007504
56,2370.20739687,4.16862848,4.71162931,-0.00743996
57,2366.79564167,3.41175520,4.71344499,-0.00181568
58,2363.77794124,3.01770043,4.71428336,-0.00083837
59,2373.25450002,-9.47655878,4.71359829,0.00068507
60,2357.22289071,16.03160930,4.72268160,-0.00908330
61,2357.38944848,-0.16655777,4.72995274,-0.00727114
62,2363.65185351,-6.26240502,4.73114944,-0.00119670
63,2346.34249886,17.30935464,4.73345466,-0.00230523
64,2352.68313073,-6.34063186,4.72676738,0.00668729
65,2341.15030948,11.53282124,4.72733547,-0.00056810
66,2342.56222574,-1.41191626,4.73501033,-0.00767486
67,2352.48477293,-9.92254719,4.73576133,-0.00075100
68,2333.97593629,18.50883664,4.73537126,0.00039007
69,2333.71419837,0.26173792,4.73443635,0.00093491
70,2330.51174807,3.20245030,4.74086287,-0.00642652
71,2326.51059810,4.00114997,4.73626919,0.00459368
72,2332.85901035,-6.34841226,4.74613865,-0.00986946
73,2348.64309333,-15.78408297,4.73078431,0.01535434
74,2313.71766722,34.92542611,4.74257473,-0.01179042
75,2311.84252803,1.87513918,4.74309609,-0.00052136
76,2307.19531232,4.64721571,4.73904639,0.00404970
77,2314.70489960,-7.50958727,4.74605222,-0.00700583
78,2306.08587194,8.61902766,4.74603518,0.00001704
79,2299.68210156,6.40377038,4.74641446,-0.00037928
80,2305.36255026,-5.68044870,4.74169846,0.00471600
81,2296.00106362,9.36148664,4.74115664,0.00054182
82,2294.56769528,1.43336834,4.74757950,-0.00642286
83,2296.05399336,-1.48629808,4.74126761,0.00631188
84,2288.10050189,7.95349147,4.73936813,0.00189949
85,2285.82275222,2.27774967,4.74890341,-0.00953529
86,2284.02083645,1.80191576,4.74395712,0.00494629
87,2278.43176809,5.58906836,4.74352851,0.00042861
88,2284.66308417,-6.23131608,4.73799884,0.00552967
89,2280.99820755,3.66487662,4.74006123,-0.00206238
90,2285.89502528,-4.89681774,4.73652782,0.00353340
91,2285.80001140,0.09501388,4.74692846,-0.01040064
92,2276.34570397,9.45430743,4.73311457,0.01381390
93,2279.19834077,-2.85263680,4.73938731,-0.00627275
94,2262.51457651,16.68376426,4.73897752,0.00040980
95,2279.21048289,-16.69590638,4.74111925,-0.00214174
96,2264.03519353,15.17528935,4.73801758,0.00310167
97,2260.40139304,3.63380049,4.73319913,0.00481845
98,2251.34587336,9.05551969,4.73201756,0.00118156
99,2248.70338632,2.64248704,4.72732444,0.00469313
100,2249.59181789,-0.88843158,4.73404907,-0.00672463
101,2247.45195905,2.13985884,4.72443095,0.00961812
102,2240.35997289,7.09198616,4.72822785,-0.00379689
103,2238.13658860,2.22338429,4.71715492,0.01107293
104,2243.09602891,-4.95944031,4.72808393,-0.01092901
105,2242.71602943,0.37999948,4.71895704,0.00912688
106,2244.67581381,-1.95978438,4.72189584,-0.00293879
107,2231.35593987,13.31987395,4.72255813,-0.00066230
108,2225.82022037,5.53571949,4.71472882,0.00782932
109,2225.18211627,0.63810410,4.71738170,-0.00265288
110,2233.91032043,-8.72820415,4.71309969,0.00428202
111,2237.29216226,-3.38184183,4.70602292,0.00707677
112,2219.13102001,18.16114225,4.70247197,0.00355094
113,2216.06561624,3.06540378,4.70584098,-0.00336901
114,2211.92816604,4.13745020,4.70570452,0.00013646
115,2208.28372467,3.64444137,4.69811434,0.00759018
116,2210.60065991,-2.31693524,4.69221620,0.00589815
117,2214.79561429,-4.19495438,4.69920360,-0.00698740
118,2209.68334059,5.11227370,4.69346380,0.00573980
119,2199.47345488,10.20988571,4.68931148,0.00415232
120,2198.18130940,1.29214548,4.68950826,-0.00019678
121,2204.85775299,-6.67644360,4.68297725,0.00653101
122,2194.93436250,9.92339049,4.67893283,0.00404442
123,2200.12709503,-5.19273253,4.68745637,-0.00852354
124,2202.28302472,-2.15592969,4.67539493,0.01206144
125,2187.84283564,14.44018908,4.67229211,0.00310282
