Itr:0 Energy:0.1451872241576549 Cost:569.9231454029484 energy_imp:-0.0002076854537276518 cost_imp:-1.7464749223764784
Itr:1 Energy:0.14497953870392724 Cost:568.1766704805719 energy_imp:0.0002076854537276518 cost_imp:1.7464749223764784
Itr:2 Energy:0.14477244194863367 Cost:566.4405552511714 energy_imp:0.00020709675529356764 cost_imp:1.736115229400525
Itr:3 Energy:0.14456593121942163 Cost:564.7147334288892 energy_imp:0.00020651072921204494 cost_imp:1.725821822282228
Itr:4 Energy:0.14436000385976533 Cost:562.9991392201313 energy_imp:0.00020592735965629938 cost_imp:1.7155942087579206
Itr:5 Energy:0.14415465722885012 Cost:561.2937073193291 energy_imp:0.0002053466309152041 cost_imp:1.705431900802182
Itr:6 Energy:0.14394988870145828 Cost:559.5983729047424 energy_imp:0.00020476852739184648 cost_imp:1.6953344145866822
Itr:7 Energy:0.14374569566785575 Cost:557.9130716342978 energy_imp:0.00020419303360252883 cost_imp:1.6853012704445973
Itr:8 Energy:0.14354207553367943 Cost:556.2377396414794 energy_imp:0.0002036201341763244 cost_imp:1.6753319928184283
Itr:9 Energy:0.14333902571982507 Cost:554.5723135312464 energy_imp:0.00020304981385435572 cost_imp:1.6654261102329428
Itr:10 Energy:0.143136543662338 Cost:552.916730376004 energy_imp:0.00020248205748707448 cost_imp:1.6555831552424252
Itr:11 Energy:0.1429346268123024 Cost:551.2709277116031 energy_imp:0.0002019168500355939 cost_imp:1.6458026644008896
Itr:12 Energy:0.14273327263573315 Cost:549.6348435333838 energy_imp:0.00020135417656924615 cost_imp:1.6360841782193347
Itr:13 Energy:0.14253247861346802 Cost:548.0084162922607 energy_imp:0.00020079402226513832 cost_imp:1.6264272411231104
Itr:14 Energy:0.14233224224106092 Cost:546.391584890837 energy_imp:0.00020023637240709768 cost_imp:1.616831401423724
Itr:15 Energy:0.14213256102867572 Cost:544.7842886795684 energy_imp:0.00019968121238519987 cost_imp:1.60729621126859
Itr:16 Energy:0.1419334325009816 Cost:543.1864674529527 energy_imp:0.00019912852769413125 cost_imp:1.5978212266156788
Itr:17 Energy:0.14173485419704854 Cost:541.5980614457663 energy_imp:0.0001985783039330502 cost_imp:1.588406007186336
Itr:18 Energy:0.1415368236702447 Cost:540.0190113293306 energy_imp:0.00019803052680383848 cost_imp:1.5790501164357238
Itr:19 Energy:0.1413393384881335 Cost:538.4492582078174 energy_imp:0.00019748518211121224 cost_imp:1.5697531215132585
Itr:20 Energy:0.14114239623237235 Cost:536.8887436145897 energy_imp:0.00019694225576114 cost_imp:1.5605145932277082
Itr:21 Energy:0.14094599449861214 Cost:535.3374095085759 energy_imp:0.0001964017337602042 cost_imp:1.551334106013769
Itr:22 Energy:0.14075013089639743 Cost:533.795198270686 energy_imp:0.0001958636022147131 cost_imp:1.5422112378898873
Itr:23 Energy:0.14055480304906745 Cost:532.2620527002504 energy_imp:0.0001953278473299791 cost_imp:1.5331455704356358
Itr:24 Energy:0.14036000859365794 Cost:530.7379160115046 energy_imp:0.0001947944554095138 cost_imp:1.5241366887457843
Itr:25 Energy:0.1401657451808043 Cost:529.2227318301005 energy_imp:0.00019426341285364024 cost_imp:1.515184181404038
Itr:26 Energy:0.1399720104746447 Cost:527.7164441896558 energy_imp:0.00019373470615960398 cost_imp:1.5062876404447252
Itr:27 Energy:0.13977880215272437 Cost:526.218997528332 energy_imp:0.000193208321920324 cost_imp:1.4974466613238064
Itr:28 Energy:0.1395861179059016 Cost:524.730336685449 energy_imp:0.0001926842468227552 cost_imp:1.488660842883064
Itr:29 Energy:0.1393939554382526 Cost:523.2504068981324 energy_imp:0.00019216246764902634 cost_imp:1.4799297873165642
Itr:30 Energy:0.13920231246697884 Cost:521.7791537979846 energy_imp:0.00019164297127374774 cost_imp:1.4712531001478055
Itr:31 Energy:0.1390111867223151 Cost:520.3165234078036 energy_imp:0.00019112574466373378 cost_imp:1.4626303901809479
Itr:32 Energy:0.13882057594743646 Cost:518.8624621383163 energy_imp:0.0001906107748786412 cost_imp:1.4540612694872834
Itr:33 Energy:0.13863047789836866 Cost:517.4169167849534 energy_imp:0.00019009804906780503 cost_imp:1.4455453533629452
Itr:34 Energy:0.13844089034389703 Cost:515.9798345246517 energy_imp:0.00018958755447162634 cost_imp:1.437082260301736
Itr:35 Energy:0.13825181106547765 Cost:514.5511629126862 energy_imp:0.00018907927841937955 cost_imp:1.4286716119654557
Itr:36 Energy:0.13806323785714852 Cost:513.1308498795348 energy_imp:0.00018857320832912916 cost_imp:1.4203130331513876
Itr:37 Energy:0.13787516852544135 Cost:511.7188437277687 energy_imp:0.00018806933170717466 cost_imp:1.4120061517661497
Itr:38 Energy:0.1376876008892949 Cost:510.31509312897686 energy_imp:0.00018756763614644067 cost_imp:1.4037505987918166
Itr:39 Energy:0.13750053277996765 Cost:508.9195471207148 energy_imp:0.00018706810932725415 cost_imp:1.3955460082620448
Itr:40 Energy:0.13731396204095292 Cost:507.53215510348673 energy_imp:0.0001865707390147353 cost_imp:1.3873920172280805
Itr:41 Energy:0.13712788652789337 Cost:506.15286683775355 energy_imp:0.00018607551305954706 cost_imp:1.3792882657331802
Itr:42 Energy:0.13694230410849642 Cost:504.7816324409687 energy_imp:0.0001855824193969513 cost_imp:1.371234396784871
Itr:43 Energy:0.13675721266245106 Cost:503.4184023846437 energy_imp:0.00018509144604536565 cost_imp:1.3632300563249942
Itr:44 Energy:0.1365726100813446 Cost:502.0631274914394 energy_imp:0.00018460258110644667 cost_imp:1.355274893204296
Itr:45 Energy:0.13638849426858052 Cost:500.71575893228623 energy_imp:0.00018411581276409072 cost_imp:1.3473685591531535
Itr:46 Energy:0.13620486313929633 Cost:499.376248223531 energy_imp:0.00018363112928418412 cost_imp:1.339510708755256
Itr:47 Energy:0.13602171462028337 Cost:498.0445472241088 energy_imp:0.00018314851901296558 cost_imp:1.3317009994221962
Itr:48 Energy:0.13583904664990615 Cost:496.7206081327432 energy_imp:0.0001826679703772205 cost_imp:1.3239390913655598
Itr:49 Energy:0.13565685717802237 Cost:495.4043834851737 energy_imp:0.00018218947188378132 cost_imp:1.316224647569527
Itr:50 Energy:0.13547514416590475 Cost:494.09582615140476 energy_imp:0.00018171301211761248 cost_imp:1.3085573337689311
Itr:51 Energy:0.13529390558616175 Cost:492.7948893329842 energy_imp:0.00018123857974300384 cost_imp:1.3009368184205528
Itr:52 Energy:0.1351131394226607 Cost:491.5015265603069 energy_imp:0.0001807661635010449 cost_imp:1.2933627726773125
Itr:53 Energy:0.1349328436704501 Cost:490.2156916899401 energy_imp:0.00018029575221059635 cost_imp:1.2858348703667843
Itr:54 Energy:0.13475301633568354 Cost:488.93733890197853 energy_imp:0.0001798273347665691 cost_imp:1.2783527879615804
Itr:55 Energy:0.13457365543554353 Cost:487.6664226974202 energy_imp:0.0001793609001400076 cost_imp:1.2709162045583184
Itr:56 Energy:0.1343947589981667 Cost:486.40289789556755 energy_imp:0.0001788964373768409 cost_imp:1.2635248018526681
Itr:57 Energy:0.13421632506256873 Cost:485.146719631454 energy_imp:0.00017843393559796583 cost_imp:1.2561782641135437
Itr:58 Energy:0.13403835167857103 Cost:483.8978433532909 energy_imp:0.0001779733839976927 cost_imp:1.2488762781630953
Itr:59 Energy:0.13386083690672632 Cost:482.6562248199441 energy_imp:0.00017751477184471676 cost_imp:1.2416185333468093
Itr:60 Energy:0.13368377881824672 Cost:481.4218200984256 energy_imp:0.00017705808847959248 cost_imp:1.2344047215185014
Itr:61 Energy:0.1335071754949312 Cost:480.1945855614159 energy_imp:0.00017660332331551065 cost_imp:1.2272345370096787
Itr:62 Energy:0.13333102502909383 Cost:478.97447788480486 energy_imp:0.00017615046583738247 cost_imp:1.2201076766110646
Itr:63 Energy:0.13315532552349257 Cost:477.7614540452559 energy_imp:0.0001756995056012567 cost_imp:1.2130238395489528
Itr:64 Energy:0.13298007509125917 Cost:476.555471317793 energy_imp:0.00017525043223340364 cost_imp:1.2059827274629242
Itr:65 Energy:0.13280527185582916 Cost:475.35648727341044 energy_imp:0.00017480323543000997 cost_imp:1.1989840443825415
Itr:66 Energy:0.13263091395087195 Cost:474.1644597767024 energy_imp:0.00017435790495720638 cost_imp:1.1920274967080218
Itr:67 Energy:0.13245699952022277 Cost:472.97934698351753 energy_imp:0.00017391443064918022 cost_imp:1.185112793184885
Itr:68 Energy:0.13228352671781368 Cost:471.80110733862915 energy_imp:0.00017347280240909146 cost_imp:1.1782396448883787
Itr:69 Energy:0.13211049370760625 Cost:470.6296995734361 energy_imp:0.0001730330102074351 cost_imp:1.1714077651930666
Itr:70 Energy:0.13193789866352443 Cost:469.46508270367184 energy_imp:0.00017259504408181914 cost_imp:1.1646168697642452
Itr:71 Energy:0.1317657397693875 Cost:468.30721602714874 energy_imp:0.00017215889413693675 cost_imp:1.1578666765230992
Itr:72 Energy:0.13159401521884415 Cost:467.1560591215103 energy_imp:0.00017172455054334512 cost_imp:1.1511569056384587
Itr:73 Energy:0.13142272321530676 Cost:466.0115718420113 energy_imp:0.00017129200353738216 cost_imp:1.1444872794990033
Itr:74 Energy:0.13125186197188693 Cost:464.87371431931524 energy_imp:0.00017086124341983422 cost_imp:1.137857522696038
Itr:75 Energy:0.1310814297113299 Cost:463.74244695731375 energy_imp:0.00017043226055701854 cost_imp:1.1312673620014948
Itr:76 Energy:0.13091142466595115 Cost:462.6177304309605 energy_imp:0.00017000504537875716 cost_imp:1.124716526353268
Itr:77 Energy:0.13074184507757253 Cost:461.4995256841342 energy_imp:0.00016957958837862663 cost_imp:1.1182047468262795
Itr:78 Energy:0.13057268919745932 Cost:460.38779392750973 energy_imp:0.0001691558801132087 cost_imp:1.111731756624465
Itr:79 Energy:0.13040395528625787 Cost:459.2824966364571 energy_imp:0.00016873391120145187 cost_imp:1.1052972910526364
Itr:80 Energy:0.13023564161393317 Cost:458.1835955489561 energy_imp:0.00016831367232469918 cost_imp:1.0989010875010194
Itr:81 Energy:0.13006774645970762 Cost:457.09105266352805 energy_imp:0.00016789515422555024 cost_imp:1.0925428854280312
Itr:82 Energy:0.1299002681119993 Cost:456.00483023718874 energy_imp:0.00016747834770830528 cost_imp:1.0862224263393045
Itr:83 Energy:0.12973320486836212 Cost:454.9248907834194 energy_imp:0.00016706324363718883 cost_imp:1.0799394537693274
Itr:84 Energy:0.12956655503542527 Cost:453.85119707015446 energy_imp:0.00016664983293684932 cost_imp:1.0736937132649587
Itr:85 Energy:0.1294003169288335 Cost:452.78371211778864 energy_imp:0.00016623810659177618 cost_imp:1.0674849523658168
Itr:86 Energy:0.12923448887318806 Cost:451.72239919720164 energy_imp:0.00016582805564543945 cost_imp:1.0613129205869996
Itr:87 Energy:0.1290690692019877 Cost:450.6672218277996 energy_imp:0.00016541967120034529 cost_imp:1.0551773694020312
Itr:88 Energy:0.12890405625757087 Cost:449.61814377557386 energy_imp:0.00016501294441684244 cost_imp:1.0490780522257523
Itr:89 Energy:0.12873944839105728 Cost:448.57512905118034 energy_imp:0.00016460786651359416 cost_imp:1.0430147243935153
Itr:90 Energy:0.12857524396229075 Cost:447.5381419080315 energy_imp:0.00016420442876652341 cost_imp:1.036987143148849
Itr:91 Energy:0.12841144133978252 Cost:446.5071468404081 energy_imp:0.00016380262250823008 cost_imp:1.0309950676233939
Itr:92 Energy:0.1282480389006543 Cost:445.4821085815849 energy_imp:0.00016340243912821295 cost_imp:1.0250382588232014
Itr:93 Energy:0.12808503503058252 Cost:444.4629921019789 energy_imp:0.0001630038700717873 cost_imp:1.019116479605998
Itr:94 Energy:0.12792242812374252 Cost:443.4497626073071 energy_imp:0.00016260690684000156 cost_imp:1.0132294946718048
Itr:95 Energy:0.1277602165827532 Cost:442.44238553676456 energy_imp:0.0001622115409893321 cost_imp:1.0073770705425318
Itr:96 Energy:0.1275983988186228 Cost:441.4408265612159 energy_imp:0.00016181776413037863 cost_imp:1.0015589755486758
Itr:97 Energy:0.12743697325069375 Cost:440.44505158140703 energy_imp:0.0001614255679290577 cost_imp:0.9957749798088571
Itr:98 Energy:0.12727593830658973 Cost:439.45502672618835 energy_imp:0.00016103494410402153 cost_imp:0.9900248552186781
Itr:99 Energy:0.12711529242216063 Cost:438.47071835075707 energy_imp:0.00016064588442910033 cost_imp:0.9843083754312829
Itr:100 Energy:0.12695503404143121 Cost:437.49209303490983 energy_imp:0.00016025838072941667 cost_imp:0.9786253158472391
Itr:101 Energy:0.1267951616165471 Cost:436.51911758131723 energy_imp:0.00015987242488410547 cost_imp:0.9729754535925963
Itr:102 Energy:0.12663567360772293 Cost:435.55175901381034 energy_imp:0.0001594880088241768 cost_imp:0.9673585675068921
Itr:103 Energy:0.12647656848319044 Cost:434.58998457567947 energy_imp:0.00015910512453248815 cost_imp:0.9617744381308739
Itr:104 Energy:0.12631784471914698 Cost:433.6337617279937 energy_imp:0.00015872376404346689 cost_imp:0.9562228476857513
Itr:105 Energy:0.1261595007997041 Cost:432.6830581479307 energy_imp:0.00015834391944288817 cost_imp:0.9507035800630206
Itr:106 Energy:0.1260015352168373 Cost:431.73784172712146 energy_imp:0.00015796558286679252 cost_imp:0.9452164208092313
Itr:107 Energy:0.12584394647033526 Cost:430.79808057001327 energy_imp:0.0001575887465020409 cost_imp:0.9397611571081939
Itr:108 Energy:0.12568673306775013 Cost:429.8637429922421 energy_imp:0.0001572134025851213 cost_imp:0.9343375777711458
Itr:109 Energy:0.12552989352434782 Cost:428.9347975190213 energy_imp:0.0001568395434023151 cost_imp:0.9289454732208355
Itr:110 Energy:0.12537342636305876 Cost:428.01121288354636 energy_imp:0.0001564671612890589 cost_imp:0.9235846354749242
Itr:111 Energy:0.12521733011442931 Cost:427.09295802540794 energy_imp:0.00015609624862944482 cost_imp:0.9182548581384253
Itr:112 Energy:0.12506160331657284 Cost:426.18000208902674 energy_imp:0.00015572679785647026 cost_imp:0.912955936381195
Itr:113 Energy:0.12490624451512207 Cost:425.2723144220933 energy_imp:0.00015535880145077507 cost_imp:0.907687666933441
Itr:114 Energy:0.12475125226318114 Cost:424.3698645740286 energy_imp:0.00015499225194093302 cost_imp:0.9024498480646912
Itr:115 Energy:0.12459662512127814 Cost:423.4726222944513 energy_imp:0.00015462714190299376 cost_imp:0.8972422795773127
Itr:116 Energy:0.12444236165731837 Cost:422.58055753166724 energy_imp:0.00015426346395977508 cost_imp:0.8920647627840594
Itr:117 Energy:0.12428846044653721 Cost:421.6936404311603 energy_imp:0.00015390121078115437 cost_imp:0.8869171005069347
Itr:118 Energy:0.12413492007145437 Cost:420.81184133410744 energy_imp:0.00015354037508284735 cost_imp:0.8817990970528626
Itr:119 Energy:0.12398173912182738 Cost:419.93513077589887 energy_imp:0.00015318094962699091 cost_imp:0.8767105582085719
Itr:120 Energy:0.1238289161946064 Cost:419.0634794846748 energy_imp:0.00015282292722097746 cost_imp:0.8716512912240546
Itr:121 Energy:0.12367644989388867 Cost:418.19685837987305 energy_imp:0.00015246630071773237 cost_imp:0.8666211048017658
Itr:122 Energy:0.12352433883087337 Cost:417.3352385707899 energy_imp:0.00015211106301529775 cost_imp:0.8616198090831517
Itr:123 Energy:0.12337258162381777 Cost:416.47859135515415 energy_imp:0.00015175720705559725 cost_imp:0.8566472156357463
Itr:124 Energy:0.12322117689799197 Cost:415.62688821771064 energy_imp:0.00015140472582579612 cost_imp:0.8517031374435078
Itr:125 Energy:0.1230701232856358 Cost:414.78010082881946 energy_imp:0.00015105361235617787 cost_imp:0.8467873888911868
Itr:126 Energy:0.1229194194259144 Cost:413.93820104306366 energy_imp:0.00015070385972139333 cost_imp:0.8418997857557997
Itr:127 Energy:0.12276906396487565 Cost:413.10116089787135 energy_imp:0.00015035546103875363 cost_imp:0.8370401451923044
Itr:128 Energy:0.12261905555540678 Cost:412.2689526121497 energy_imp:0.00015000840946886862 cost_imp:0.8322082857216628
Itr:129 Energy:0.12246939285719187 Cost:411.4415485849269 energy_imp:0.0001496626982149113 cost_imp:0.8274040272227694
Itr:130 Energy:0.12232007453666913 Cost:410.6189213940113 energy_imp:0.00014931832052274274 cost_imp:0.8226271909156253
Itr:131 Energy:0.12217109926698966 Cost:409.8010437946566 energy_imp:0.00014897526967946884 cost_imp:0.8178775993546878
Itr:132 Energy:0.12202246572797486 Cost:408.9878887182435 energy_imp:0.00014863353901480025 cost_imp:0.8131550764131248
