Iteration:0 Cost:965.2286542621346 Improvement:-7461.332186683201
Iteration:1 Cost:946.7447487623266 Improvement:7461.332186683201
Iteration:2 Cost:935.8829046414745 Improvement:18.483905499807975
Iteration:3 Cost:924.4548450556929 Improvement:10.861844120852084
Iteration:4 Cost:914.1895763087842 Improvement:11.428059585781625
Iteration:5 Cost:904.0376991606329 Improvement:10.265268746908646
Iteration:6 Cost:894.1842042545287 Improvement:10.151877148151357
Iteration:7 Cost:882.1452217015768 Improvement:9.853494906104174
Iteration:8 Cost:870.0320041426937 Improvement:12.038982552951893
Iteration:9 Cost:858.0946305688749 Improvement:12.113217558883093
Iteration:10 Cost:845.7946730571286 Improvement:11.937373573818832
Iteration:11 Cost:833.9699714251851 Improvement:12.299957511746243
Iteration:12 Cost:821.8871675458247 Improvement:11.824701631943526
Iteration:13 Cost:809.3166292589837 Improvement:12.082803879360426
Iteration:14 Cost:798.4625023028925 Improvement:12.570538286841042
Iteration:15 Cost:787.0204102733844 Improvement:10.854126956091136
Iteration:16 Cost:777.1199318499444 Improvement:11.442092029508103
Iteration:17 Cost:768.1417277464777 Improvement:9.900478423440063
Iteration:18 Cost:755.6344821231669 Improvement:8.978204103466624
Iteration:19 Cost:745.7740639894204 Improvement:12.507245623310837
Iteration:20 Cost:736.1116553563617 Improvement:9.86041813374652
Iteration:21 Cost:728.2217583881213 Improvement:9.662408633058703
Iteration:22 Cost:719.3737374409797 Improvement:7.88989696824035
Iteration:23 Cost:713.2135249744781 Improvement:8.848020947141663
Iteration:24 Cost:705.3292503251616 Improvement:6.160212466501548
Iteration:25 Cost:698.6354283188672 Improvement:7.884274649316467
Iteration:26 Cost:692.8692767069035 Improvement:6.693822006294454
Iteration:27 Cost:690.2047698162918 Improvement:5.766151611963664
Iteration:28 Cost:684.3970130418243 Improvement:2.664506890611733
Iteration:29 Cost:680.2186981760078 Improvement:5.807756774467521
Iteration:30 Cost:673.7932738775806 Improvement:4.178314865816446
Iteration:31 Cost:669.5016753835794 Improvement:6.425424298427174
Iteration:32 Cost:664.729063252923 Improvement:4.291598494001278
Iteration:33 Cost:660.6769763431041 Improvement:4.772612130656398
Iteration:34 Cost:657.0826178627595 Improvement:4.052086909818854
Iteration:35 Cost:656.0410452381146 Improvement:3.5943584803445674
Iteration:36 Cost:652.5694135269117 Improvement:1.041572624644914
Iteration:37 Cost:648.8135206342306 Improvement:3.4716317112029174
Iteration:38 Cost:645.8156664214014 Improvement:3.7558928926811177
Iteration:39 Cost:643.4928025174567 Improvement:2.9978542128292247
Iteration:40 Cost:640.9010391533861 Improvement:2.3228639039447216
Iteration:41 Cost:638.462933440343 Improvement:2.591763364070516
Iteration:42 Cost:636.446399985746 Improvement:2.4381057130431145
Iteration:43 Cost:635.2077479269901 Improvement:2.016533454597038
Iteration:44 Cost:632.2750251524865 Improvement:1.2386520587558607
Iteration:45 Cost:630.9261500262473 Improvement:2.9327227745036453
Iteration:46 Cost:628.9579054458958 Improvement:1.348875126239136
Iteration:47 Cost:627.7267585789117 Improvement:1.968244580351552
Iteration:48 Cost:628.1339184296028 Improvement:1.2311468669840906
Iteration:49 Cost:624.2393660294682 Improvement:-0.4071598506910732
Iteration:50 Cost:623.8812808663157 Improvement:3.8945524001345575
Iteration:51 Cost:623.1374579754711 Improvement:0.35808516315250927
Iteration:52 Cost:620.1213180398821 Improvement:0.7438228908446263
Iteration:53 Cost:619.0593541824985 Improvement:3.016139935588967
Iteration:54 Cost:617.9798427969944 Improvement:1.0619638573836028
