Iteration:0 Cost:378.4741121965821 Improvement:-0.000396179811446018
Iteration:1 Cost:378.47366312468034 Improvement:0.000396179811446018
Iteration:2 Cost:378.473152657559 Improvement:0.00044907190175536016
Iteration:3 Cost:378.4725714274249 Improvement:0.0005104671213302936
Iteration:4 Cost:378.47190838994084 Improvement:0.0005812301341165949
Iteration:5 Cost:378.4711505435105 Improvement:0.0006630374840597142
Iteration:6 Cost:378.4702825618533 Improvement:0.000757846430360587
Iteration:7 Cost:378.46928648231835 Improvement:0.0008679816571657284
Iteration:8 Cost:378.4681410433417 Improvement:0.0009960795349570617
Iteration:9 Cost:378.4668212464086 Improvement:0.0011454389766640816
Iteration:10 Cost:378.465297613697 Improvement:0.0013197969331031345
Iteration:11 Cost:378.4635329013318 Improvement:0.0015236327116099346
Iteration:12 Cost:378.46148539303033 Improvement:0.001764712365172727
Iteration:13 Cost:378.4591035142164 Improvement:0.0020475083014730444
Iteration:14 Cost:378.45632938606855 Improvement:0.0023818788139351454
Iteration:15 Cost:378.453086345561 Improvement:0.002774128147848387
Iteration:16 Cost:378.44928928595465 Improvement:0.0032430405075274393
Iteration:17 Cost:378.4448293846162 Improvement:0.0037970596063701123
Iteration:18 Cost:378.4395790872019 Improvement:0.0044599013384640784
Iteration:19 Cost:378.4333822731244 Improvement:0.005250297414306715
Iteration:20 Cost:378.42605211139846 Improvement:0.0061968140774979474
Iteration:21 Cost:378.41735281166115 Improvement:0.0073301617259176055
Iteration:22 Cost:378.40699365721963 Improvement:0.008699299737315869
Iteration:23 Cost:378.39463209001855 Improvement:0.010359154441516694
Iteration:24 Cost:378.37982944649224 Improvement:0.012361567201082835
Iteration:25 Cost:378.3620502552766 Improvement:0.014802643526309112
Iteration:26 Cost:378.34068278984023 Improvement:0.01777919121565219
Iteration:27 Cost:378.3148665645349 Improvement:0.021367465436355815
Iteration:28 Cost:378.2836103930113 Improvement:0.02581622530533423
Iteration:29 Cost:378.2456785332627 Improvement:0.03125617152358018
Iteration:30 Cost:378.19949711909976 Improvement:0.03793185974859625
Iteration:31 Cost:378.14313801750717 Improvement:0.046181414162958845
Iteration:32 Cost:378.07422906039716 Improvement:0.05635910159259083
Iteration:33 Cost:377.9895008136224 Improvement:0.06890895711001122
Iteration:34 Cost:377.88537342852663 Improvement:0.0847282467747732
Iteration:35 Cost:377.75691992971673 Improvement:0.10412738509575092
Iteration:36 Cost:377.5980183522369 Improvement:0.12845349880990398
Iteration:37 Cost:377.4014806400349 Improvement:0.15890157747980993
Iteration:38 Cost:377.1576576346311 Improvement:0.19653771220202998
Iteration:39 Cost:376.85488925484697 Improvement:0.2438230054037831
Iteration:40 Cost:376.47927851266377 Improvement:0.3027683797841405
Iteration:41 Cost:376.01307532662787 Improvement:0.37561074218319845
Iteration:42 Cost:375.43309050616534 Improvement:0.46620318603589794
Iteration:43 Cost:374.7149616796268 Improvement:0.5799848204625278
Iteration:44 Cost:373.8271851681166 Improvement:0.7181288265385319
