Iteration,Cost,Cost Diff,Relative Error,Relative Error Diff
1,222.34736913,848.74269690,0.62995057,1.06027248
2,126.86207059,95.48529854,0.23454715,0.39540341
3,94.66349951,32.19857108,0.18408241,0.05046474
4,80.81771810,13.84578141,0.19672997,-0.01264756
5,70.13837280,10.67934530,0.20332911,-0.00659914
6,62.95666436,7.18170844,0.20905652,-0.00572741
7,57.81752422,5.13914014,0.21116427,-0.00210775
8,53.99418875,3.82333547,0.21116901,-0.00000474
9,50.98884157,3.00534719,0.20953447,0.00163454
10,48.51768779,2.47115378,0.20680263,0.00273184
11,46.41094743,2.10674036,0.20332440,0.00347822
12,44.56428917,1.84665826,0.19937302,0.00395139
13,42.91210860,1.65218057,0.19512947,0.00424355
14,41.41231755,1.49979105,0.19071885,0.00441062
15,40.03719156,1.37512598,0.18623219,0.00448666
16,38.76775117,1.26944039,0.18173826,0.00449393
17,37.59035354,1.17739763,0.17728353,0.00445473
18,36.49465801,1.09569553,0.17290214,0.00438138
19,35.47242889,1.02222912,0.16861245,0.00428969
20,34.51683444,0.95559445,0.16443203,0.00418043
21,33.62203338,0.89480106,0.16036366,0.00406837
22,32.78292537,0.83910801,0.15640919,0.00395447
23,31.99499431,0.78793106,0.15257372,0.00383547
24,31.25420437,0.74078994,0.14885237,0.00372135
25,30.55692664,0.69727773,0.14524141,0.00361096
26,29.89988402,0.65704262,0.14174281,0.00349860
27,29.28010770,0.61977632,0.13835465,0.00338816
28,28.69490142,0.58520628,0.13507349,0.00328116
29,28.14181127,0.55309015,0.13188982,0.00318367
30,27.61859975,0.52321152,0.12880463,0.00308520
31,27.12322324,0.49537651,0.12581073,0.00299390
32,26.65381221,0.46941103,0.12290419,0.00290654
33,26.20865380,0.44515841,0.12008118,0.00282301
34,25.78617642,0.42247738,0.11734097,0.00274021
35,25.38493605,0.40124037,0.11467997,0.00266101
36,25.00360410,0.38133195,0.11209272,0.00258725
37,24.64095650,0.36264760,0.10957645,0.00251627
38,24.29586404,0.34509246,0.10712935,0.00244710
39,23.96728362,0.32858042,0.10474980,0.00237955
40,23.65425049,0.31303313,0.10243413,0.00231567
41,23.35587122,0.29837927,0.10018030,0.00225383
42,23.07131737,0.28455385,0.09798668,0.00219362
43,22.79981982,0.27149754,0.09585128,0.00213540
44,22.54066364,0.25915618,0.09377152,0.00207975
45,22.29318341,0.24748024,0.09174650,0.00202502
46,22.05675902,0.23642438,0.08977343,0.00197307
47,21.83081191,0.22594711,0.08785070,0.00192273
48,21.61480157,0.21601034,0.08597679,0.00187390
49,21.40822240,0.20657916,0.08415069,0.00182610
50,21.21060092,0.19762148,0.08237061,0.00178009
51,21.02149312,0.18910781,0.08063533,0.00173528
52,20.84048212,0.18101099,0.07894333,0.00169199
53,20.66717608,0.17330605,0.07729342,0.00164992
54,20.50120616,0.16596992,0.07568440,0.00160901
55,20.34222482,0.15898134,0.07411517,0.00156923
56,20.18990417,0.15232065,0.07258494,0.00153023
57,20.04393449,0.14596968,0.07109254,0.00149241
58,19.90402289,0.13991160,0.06963688,0.00145566
59,19.76989209,0.13413080,0.06821686,0.00142002
60,19.64127929,0.12861280,0.06683157,0.00138530
61,19.51793516,0.12334414,0.06548010,0.00135147
62,19.39962287,0.11831228,0.06416160,0.00131850
63,19.28611732,0.11350555,0.06287525,0.00128635
64,19.17720428,0.10891304,0.06162023,0.00125501
65,19.07267972,0.10452456,0.06039578,0.00122445
66,18.97234916,0.10033056,0.05920134,0.00119444
67,18.87602708,0.09632208,0.05803601,0.00116533
68,18.78353638,0.09249070,0.05689908,0.00113694
69,18.69470787,0.08882852,0.05578984,0.00110923
70,18.60937982,0.08532805,0.05470765,0.00108220
71,18.52739757,0.08198225,0.05365184,0.00105581
72,18.44861312,0.07878445,0.05262179,0.00103005
73,18.37288479,0.07572832,0.05161689,0.00100490
74,18.30007692,0.07280787,0.05063654,0.00098036
75,18.23005953,0.07001739,0.04968015,0.00095639
76,18.16270809,0.06735144,0.04874715,0.00093299
77,18.09790323,0.06480486,0.04783701,0.00091015
