Itr:0 Energy:-0.061250673168302454 Cost:569.9231454029484 energy_imp:-7.546232866034036e-05 cost_imp:-3.5351172448142734
Itr:1 Energy:-0.061326135496962794 Cost:566.3880281581341 energy_imp:7.546232866034036e-05 cost_imp:3.5351172448142734
Itr:2 Energy:-0.0613997053329072 Cost:562.9266794386764 energy_imp:7.356983594440647e-05 cost_imp:3.46134871945776
Itr:3 Energy:-0.061471439049275836 Cost:559.5370659846993 energy_imp:7.173371636863546e-05 cost_imp:3.389613453977063
Itr:4 Energy:-0.0615413911094602 Cost:556.2172231694998 energy_imp:6.995206018436256e-05 cost_imp:3.319842815199536
Itr:5 Energy:-0.06160961414097814 Cost:552.9652522606565 energy_imp:6.822303151794024e-05 cost_imp:3.2519709088433046
Itr:6 Energy:-0.061676159006098005 Cost:549.7793178070685 energy_imp:6.654486511986635e-05 cost_imp:3.1859344535879472
Itr:7 Energy:-0.06174107486937323 Cost:546.6576451453551 energy_imp:6.49158632752278e-05 cost_imp:3.1216726617134327
Itr:8 Energy:-0.06180440926224123 Cost:543.5985180194788 energy_imp:6.333439286800024e-05 cost_imp:3.05912712587633
Itr:9 Energy:-0.06186620814482793 Cost:540.600276307759 energy_imp:6.179888258669997e-05 cost_imp:2.998241711719743
Itr:10 Energy:-0.061926515965096365 Cost:537.6613138518054 energy_imp:6.0307820268432066e-05 cost_imp:2.9389624559536287
Itr:11 Energy:-0.06198537571546594 Cost:534.7800763822158 energy_imp:5.8859750369573416e-05 cost_imp:2.881237469589564
Itr:12 Energy:-0.06204282898702582 Cost:531.9550595361392 energy_imp:5.7453271559884667e-05 cost_imp:2.8250168460766645
Itr:13 Energy:-0.06209891602145633 Cost:529.1848069621265 energy_imp:5.608703443050339e-05 cost_imp:2.7702525740127157
Itr:14 Energy:-0.06215367576076776 Cost:526.4679085079101 energy_imp:5.4759739311432964e-05 cost_imp:2.7168984542163344
Itr:15 Energy:-0.06220714589496044 Cost:523.8029984870136 energy_imp:5.347013419267771e-05 cost_imp:2.6649100208965137
Itr:16 Energy:-0.06225936290770277 Cost:521.1887540203167 energy_imp:5.22170127423352e-05 cost_imp:2.6142444666969595
Itr:17 Energy:-0.06231036212012096 Cost:518.6238934489004 energy_imp:5.0999212418190165e-05 cost_imp:2.5648605714162613
Itr:18 Energy:-0.06236017773278737 Cost:516.1071748147227 energy_imp:4.9815612666405384e-05 cost_imp:2.516718634177664
